,0
0,0.0030925071050613324
1,0.003375635265991256
2,0.0036555176830579714
3,0.003986772909480823
4,0.011978567018895048
5,0.017691864382411524
6,0.01870106072664432
7,0.01966048645314446
8,0.02074323716416259
9,0.039088057893837305
10,0.05042765598081321
11,0.05242083532097517
12,0.05430123346255341
13,0.05641073958720874
14,0.08709950496156256
15,0.10442762545513394
16,0.10745814189640877
17,0.11032090937247617
18,0.11351015634908436
19,0.15582852294985297
20,0.17811472505111386
21,0.18200949978761558
22,0.18565146800838278
23,0.18970830964120539
24,0.24019535147372964
25,0.2650788801711006
26,0.26940026015751334
27,0.2734356745027215
28,0.2778967191678958
29,0.3305639729133633
30,0.3545740976820639
31,0.3587125166534168
32,0.3625536564934382
33,0.3667859170140122
34,0.4138234753363358
35,0.43282923587817196
36,0.4360489474876484
37,0.4390312698834952
38,0.4422739339122574
39,0.47509665103072146
40,0.4848819089187819
41,0.4864589093462164
42,0.4878702238617846
43,0.48936900702732933
44,0.499829992139552
45,0.49674849464645743
46,0.4960484097888312
47,0.49531427691327007
48,0.4944206405257311
49,0.4790725269997548
50,0.46396858107923217
51,0.46115984052871983
52,0.45845805126847167
53,0.45541447877041874
54,0.4205633776191537
55,0.3974628555928726
56,0.39328244476286994
57,0.38929921492356534
58,0.384856455428699
59,0.3386869148925236
60,0.31200709739163834
61,0.3072012392389715
62,0.3026698720779464
63,0.29763732762554196
64,0.2483833524902202
65,0.22219568558171576
66,0.21750310296028677
67,0.21310079678893434
68,0.2082085204540154
69,0.16301030882667752
70,0.1405492153539257
71,0.13653945692590935
72,0.13279246953763646
73,0.1286571370849263
74,0.09257008124334143
75,0.07583746698878123
76,0.0728676526808313
77,0.07009122420757968
78,0.06705148947619623
79,0.042585134492243513
80,0.03219437728310828
81,0.03035144812338554
82,0.02864090770678295
83,0.026775406968259932
84,0.013683893987035485
85,0.008869868758771316
86,0.00801467862998988
87,0.007232618778114856
88,0.006387928238909413
89,0.0019589232567830566
90,0.0008385142361481211
91,0.0006397488956949787
92,0.00046365136209050193
93,0.0002808755460667642
94,1.0166593595131825e-05
95,5.7402338247597305e-06
96,3.1298470791653394e-06
97,1.4076564203709348e-06
98,1.4076564203709348e-06
